"Reference","Value","Footprint","Qty","DNP","MFG","MPN","OC_LCSC","OC_Mouser"
"C1,C2,C3","10µF","Capacitor_SMD:C_0603_1608Metric","3","","Murata Electronics","GRM188Z71A106KA73D","C2959727","81-GRM188Z71A106KA3D"
"D1","SP0503BAHT","Package_TO_SOT_SMD:SOT-143","1","","Littelfuse","SP0503BAHTG","C7074","576-SP0503BAHTG"
"J1","USB_A","host-usb-pmod:USB_A_TE_292303-7_Horizontal","1","","TE Connectivity","292303-7","~","571-292303-7"
"J2","Conn_02x06_Odd_Even","host-usb-pmod:PinHeader_2x06_P2.54mm_Horizontal","1","","TE Connectivity","826634-6","~","571-826634-6"
"L1","2.2µH","Inductor_SMD_Wurth:L_Wurth_WE-LQSH-2512","1","","Wurth Elektronik","74404024022","~","710-74404024022"
"R1,R2","22Ω","Resistor_SMD:R_0402_1005Metric","2","","YAGEO","RC0402FR-0722RL","C114765","603-RC0402FR-0722RL"
"R3,R6","15kΩ","Resistor_SMD:R_0402_1005Metric","2","","YAGEO","RC0402FR-0715KL","C114761","603-RC0402FR-0715KL"
"R4","1MΩ","Resistor_SMD:R_0402_1005Metric","1","","YAGEO","RC0402FR-071ML","C138033","603-RC0402FR-071ML"
"R5","249kΩ","Resistor_SMD:R_0402_1005Metric","1","","YAGEO","RC0402FR-07249KL","C163476","603-RC0402FR-07249KL"
"U1","TPS61099DRV","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","1","","Texas Instruments","TPS61099DRVR","C2842395","595-TPS61099DRVR"
